Projet Immo;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;Bien Immo;Maison Jaune;Resto ( hors cuisine);Bar (hors cuisine);;;;;;;;;
;Surface M² RDC;60;104;67;;;V1;Offre d'achat FAI;235000;215000;235000;;
;"Surface M² étage 
(valorisé)";83;;68;;;;prix/m² valorisé;1643 ;2067 ;1741 ;;
;"Surface M² comble 
(Non valorisé pour la vente)";33 ( mais en duplex);N/A;"65 m²
incl. Cuisine dans m² RDC?";;;;;;;;;
;;;;;;;;;;;;;
;total Vente;143;104;135;;;;;;;;;
;;;;;;;;;;;;;
;prix de vente (Annoncé);265000;215000;265000;;745000;;Calculette pret immobilier - Calculatrice credit immobilier - Meilleurtaux;;;;;
;Incl. Frais agence;15000;15000;15000;;45000;6,04%;https://www.meilleurtaux.com/credit-immobilier/simulation-de-pret-immobilier/calcul-des-mensualites.html;;;;;
;;;;;;;;;;;;;
;QUESTIONS;FONCIER?? Amiante?;;"terrain 581m²??
DPE Appart? - Amiante??";;;;;;;;;
;;;;;;;;;;MAISON JAUNE;MJ + BAR;MJ+RESTO;MJ+RESTO+BAR
;;;;;;;;"RENTABILITE BRUTE 
(target 5%)";loyer / Cout total acquisition;6,07%;8,25%;6,32%;7,86%
;Offre d'achat FAI;233000 ;195000 ;250000 ;;678000 ;;"RENDEMENT NET
 (target 6,5%)";(loyer - Charges annuelles)/ Cout d'achat total;0,16%;0,25%;-1,08%;-0,60%
;prix/m² valorisé;1629 ;1875 ;1852 ;;;;CASH FLOW MENSUEL;;€43,67;€126,25;-€492,36;-€409,79
;;;;;;;;;;;;;
;;;;;;;;taux de vacance locative;;;;;
;Simulation Achat;220000 ;185000 ;235000 ;;640000 ;;qualité du locataire;;s'assurer d'une indexation du bail à mini +2% pour booster l'affaire;;;
;Simulation FA;13000 ;10000 ;15000 ;;38000 ;;conditions des baux commerciaux;;;;;
;;5,91%;5,41%;6,38%;;5,94%;;potentiel plus value à la revente à terme;;;;;
;Notaire 8,05%;17710 ;14893 ;18918 ;;51520 ;;;;;;;
;frais divers ( Dossier, courtage, ..);2500;0;0;;;;Financement perso;120000;moi;;;
;;;;;;;;220000;100000;don papa;;;
;budget;253210 ;209893 ;268918 ;;732020 ;;remboursement pret avant loyers;7252 ;;;;
;;39%;;11%;;;;reste pour travaux après apport aux banques et emprunt le temps de la vacace locative;;;;;
;apport;100000;;30000;;130000 ;;82748 ;;;;;
BANQUE;Emprunt;153210 ;209893 ;238918 ;;;;;;;;;
;;;;;;;;;;;;;
Cout du Credit;42%;64348 ;88155 ;100345 ;;;;;;;;;
année;20;906 ;1242 ;1414 ;;3562 ;;;;;;;
annuel;Foncier & taxes annuelles;1600;300;900;;;;;;;;;
;frais gestion loyers;378;;1260;;;;;;;;;
;charge energie;200;800;50;;;;apport;37000;33000;35000;;
;Autre Charges;700;300;500;;;;Pret;942 ;772 ;969 ;;
;;;;;;;;3,5% sur 20 ans;;;;;
;Loyer actuel/mois;;;1200;;;V1;Loyer actuel/mois;;;1200;;
;Loyer potentiel/mois;1700;1000;1260;;;;Loyer potentiel/mois;;;;;
;Rvenu annexe;;2100;;;;;Rvenu annexe;;;;;
;;;;;;;;;;;;;
;Revenu annuels;20400;14100;29520;;;;Benefice/pertes;-1176 ;-1006 ;31 ;;
;"Charge anuelles 
(Incl. 30% IR)";19876 ;20532 ;28529 ;;;;;;;;;
;;;;;;;;3,5% sur 20 ans;;;;;
;Benefice/pertes annuelles après impot;524 ;-6432 ;991 ;;;V2;Loyer actuel/mois;;;1450;;Loyer bar augmenté avec Cuisine
;;;;;;;;Loyer potentiel/mois;850;;800;;RDC maison jaune + Appart refait et loué
;Avant Impots>>;;1515 ;;;;;Rvenu annexe;500;200;;;loyer pour surface du haut et loc resto
;;;0,23%;;;;;;;;;;
;;;;;;;;Benefice/pertes;174 ;-806 ;1081 ;;
;;;;;;;;;;;;;
;;;;;;;;apport;67000;;33000;;
;;;;;;;;3,5% sur 20 ans;;;;;
;;;;;;;V2;Loyer actuel/mois;;;1450;;
;;;;;;;;Loyer potentiel/mois;850;;800;;
;;;;;;;;Rvenu annexe;500;;;;
;;;;;;;;;;;;;
;;;;;;;;Benefice/pertes;304 ;;1081 ;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
